Creater_name,title,thumbnail_url,videoid,video_url,like,comment_count
Hitesh Choudhary,Apple vision pro | Developers 1st impression,https://i.ytimg.com/vi/_uZCOeWCK7g/default.jpg,_uZCOeWCK7g,https://www.youtube.com/watch?v=_uZCOeWCK7g,540,100
Hitesh Choudhary,Pieces: An Essential Tool for the Modern Developer's Toolkit,https://i.ytimg.com/vi/cv-6bAeYsOY/default.jpg,cv-6bAeYsOY,https://www.youtube.com/watch?v=cv-6bAeYsOY,788,83
Hitesh Choudhary,Saturday Live for coders 🔥,https://i.ytimg.com/vi/ikH56DizYnc/default.jpg,ikH56DizYnc,https://www.youtube.com/watch?v=ikH56DizYnc,431,8
Hitesh Choudhary,What is CSR SSR SSG and ISR,https://i.ytimg.com/vi/YkxrbxoqHDw/default.jpg,YkxrbxoqHDw,https://www.youtube.com/watch?v=YkxrbxoqHDw,466,47
Hitesh Choudhary,Let's kill all programming language | playlist intro,https://i.ytimg.com/vi/EQwmQLU1S6I/default.jpg,EQwmQLU1S6I,https://www.youtube.com/watch?v=EQwmQLU1S6I,434,53
Hitesh Choudhary,Complete Appwrite authentication walkthrough,https://i.ytimg.com/vi/zlojM-Jbux4/default.jpg,zlojM-Jbux4,https://www.youtube.com/watch?v=zlojM-Jbux4,221,39
Hitesh Choudhary,Is twitter dead ?,https://i.ytimg.com/vi/0Xde4eSqcmI/default.jpg,0Xde4eSqcmI,https://www.youtube.com/watch?v=0Xde4eSqcmI,300,55
Hitesh Choudhary,Building a React native app with Appwrite authentication | App demo,https://i.ytimg.com/vi/VeSUgWHbphk/default.jpg,VeSUgWHbphk,https://www.youtube.com/watch?v=VeSUgWHbphk,151,41
Hitesh Choudhary,Saturday Live for coders 🔥,https://i.ytimg.com/vi/07XRsSuZQI0/default.jpg,07XRsSuZQI0,https://www.youtube.com/watch?v=07XRsSuZQI0,321,10
Hitesh Choudhary,I don't know Nextjs - Live Stream 🔥,https://i.ytimg.com/vi/_t7qLKVZU3E/default.jpg,_t7qLKVZU3E,https://www.youtube.com/watch?v=_t7qLKVZU3E,410,43
Hitesh Choudhary,Is VSCode Dead ? Zed first look,https://i.ytimg.com/vi/BCQwMXZ4Cy8/default.jpg,BCQwMXZ4Cy8,https://www.youtube.com/watch?v=BCQwMXZ4Cy8,1398,187
Hitesh Choudhary,Is this best keyboard for coders ?,https://i.ytimg.com/vi/ouM1sfR49_8/default.jpg,ouM1sfR49_8,https://www.youtube.com/watch?v=ouM1sfR49_8,814,113
Hitesh Choudhary,Get Postman in your VSCode | 1st look,https://i.ytimg.com/vi/zLdcmJDIXt8/default.jpg,zLdcmJDIXt8,https://www.youtube.com/watch?v=zLdcmJDIXt8,448,111
Hitesh Choudhary,10000 USD for Appwrite online hackathon,https://i.ytimg.com/vi/N5EbQyRUFYs/default.jpg,N5EbQyRUFYs,https://www.youtube.com/watch?v=N5EbQyRUFYs,449,47
Hitesh Choudhary,Ruby on Rails: a framework for scale,https://i.ytimg.com/vi/UMauTsfoI8E/default.jpg,UMauTsfoI8E,https://www.youtube.com/watch?v=UMauTsfoI8E,709,19
Hitesh Choudhary,Will AI impact the job ?,https://i.ytimg.com/vi/AoM139fZZG4/default.jpg,AoM139fZZG4,https://www.youtube.com/watch?v=AoM139fZZG4,736,15
Hitesh Choudhary,Do I recommend M1 air 16gb for Android studio and web dev work?,https://i.ytimg.com/vi/GY9OW9CrDTw/default.jpg,GY9OW9CrDTw,https://www.youtube.com/watch?v=GY9OW9CrDTw,375,1
Hitesh Choudhary,Is JavaScript a good language to start with? 🤔,https://i.ytimg.com/vi/_1802fD3Su0/default.jpg,_1802fD3Su0,https://www.youtube.com/watch?v=_1802fD3Su0,1180,22
Hitesh Choudhary,Saturday Live,https://i.ytimg.com/vi/f-TGHJfD1dA/default.jpg,f-TGHJfD1dA,https://www.youtube.com/watch?v=f-TGHJfD1dA,503,22
